iter	RMSE
0	3.748206199
1	3.697599858
2	3.652767823
3	3.608301564
4	3.571089591
5	3.527307763
6	3.493887663
7	3.446452096
8	3.407439199
9	3.369532779
10	3.330795245
11	3.296399874
12	3.267163442
13	3.22559743
14	3.184319165
15	3.152056665
16	3.120946969
17	3.082381067
18	3.051503905
19	3.020298779
20	2.985584236
21	2.967431665
22	2.944369379
23	2.91699115
24	2.885776429
25	2.860142395
26	2.83827703
27	2.814217356
28	2.794196675
29	2.770857537
30	2.750620916
31	2.72597738
32	2.700022775
33	2.676581028
34	2.655295293
35	2.633302164
36	2.609768657
37	2.58796533
38	2.578925955
39	2.557719286
40	2.540390258
41	2.523084292
42	2.502727776
43	2.48468316
44	2.468988574
45	2.449474673
46	2.428589489
47	2.411267067
48	2.394874344
49	2.376153072
50	2.356341608
51	2.343337313
52	2.326295394
53	2.305597536
54	2.291225601
55	2.276985972
56	2.259736844
57	2.244549435
58	2.232743437
59	2.219843536
60	2.204754961
61	2.189426903
62	2.17426126
63	2.158810761
64	2.144070202
65	2.133417013
66	2.117043651
67	2.105119739
68	2.09385377
69	2.08064822
70	2.070276686
71	2.058679362
72	2.045927388
73	2.036722491
74	2.024379096
75	2.01088755
76	2.000074651
77	1.990200115
78	1.981005325
79	1.970543387
80	1.961536681
81	1.953796265
82	1.941073978
83	1.932472845
84	1.923663664
85	1.91358074
86	1.904554129
87	1.898125561
88	1.889061402
89	1.877703914
90	1.869429032
91	1.860443514
92	1.851986837
93	1.845246972
94	1.833772948
95	1.824795713
96	1.820066159
97	1.809823082
98	1.806116835
99	1.796418139
100	1.788137745
101	1.779353996
102	1.768955062
103	1.76287685
104	1.757666202
105	1.751887945
106	1.747349433
107	1.737462828
108	1.730832412
109	1.725451353
110	1.718284327
111	1.713032348
112	1.710058102
113	1.702711086
114	1.698170302
115	1.690428406
116	1.683512467
117	1.676082868
118	1.668433665
119	1.664207181
120	1.65481271
121	1.649115032
122	1.642614925
123	1.634625289
124	1.629647916
125	1.625775296
126	1.622267292
127	1.614972744
128	1.609472707
129	1.602775064
130	1.596026984
131	1.587356178
132	1.580080788
133	1.572496324
134	1.566181528
135	1.561905945
136	1.553890137
137	1.545736214
138	1.539164096
139	1.533538716
140	1.526931911
141	1.521501666
142	1.516544936
143	1.510527888
144	1.505146469
145	1.500532217
146	1.495357135
147	1.489831239
148	1.483030652
149	1.479252419
150	1.473296922
151	1.469192856
152	1.464715883
153	1.459407607
154	1.454254021
155	1.447459311
156	1.445366555
157	1.44206404
158	1.437573605
159	1.432853484
160	1.427266968
161	1.421646316
162	1.419320232
163	1.414182502
164	1.411985201
165	1.407758687
166	1.404848244
167	1.400167219
168	1.398196844
169	1.39661794
170	1.392046589
171	1.389104483
172	1.383334817
173	1.37919885
174	1.374993218
175	1.372188084
176	1.367793692
177	1.364446145
178	1.358745438
179	1.354702207
180	1.352477343
181	1.349784052
182	1.345825105
183	1.342442559
184	1.34022454
185	1.336994331
186	1.333472359
187	1.328074698
188	1.32415083
189	1.321051484
190	1.317532373
191	1.313232447
192	1.311477775
193	1.305984725
194	1.302517099
195	1.2978862
196	1.295368013
197	1.291710267
198	1.28718722
199	1.283203368
200	1.281032667
201	1.27992724
202	1.277181919
203	1.274791015
204	1.273051314
205	1.271255242
206	1.268820106
207	1.265962861
208	1.260993983
209	1.258802934
210	1.252481524
211	1.247475661
212	1.24437505
213	1.241452408
214	1.239044245
215	1.236341665
216	1.232566863
217	1.229578593
218	1.224755277
219	1.221381531
220	1.217688154
221	1.216032087
222	1.212558504
223	1.207733164
224	1.205877808
225	1.200801617
226	1.194073978
227	1.192259665
228	1.189389197
229	1.184718526
230	1.18267741
231	1.179369017
232	1.174932969
233	1.172440541
234	1.169118214
235	1.168050865
236	1.164774162
237	1.161777912
238	1.159805736
239	1.157052515
240	1.155175584
241	1.152905417
242	1.150438458
243	1.147644418
244	1.142969493
245	1.14072762
246	1.137470091
247	1.13519682
248	1.133807075
249	1.131699633
250	1.12834239
251	1.125989155
252	1.124259397
253	1.120347114
254	1.119231919
255	1.117648105
256	1.115329622
257	1.112358741
258	1.105811
259	1.104615385
260	1.100644545
261	1.098662335
262	1.093261762
263	1.089269306
264	1.084027537
265	1.078711127
266	1.073308988
267	1.072101485
268	1.070662126
269	1.069550864
270	1.068599953
271	1.066566875
272	1.065390277
273	1.06405499
274	1.062343263
275	1.061543692
276	1.056785529
277	1.052254715
278	1.051526365
279	1.047365811
280	1.042481142
281	1.041423753
282	1.039109776
283	1.034579247
284	1.030558635
285	1.025902856
286	1.024260813
287	1.017197798
288	1.013846868
289	1.012767348
290	1.007469147
291	1.001555271
292	0.9989767789
293	0.9978122837
294	0.9963508547
295	0.995100643
296	0.9932655289
297	0.9911958845
298	0.9902226416
299	0.9892621235
300	0.9838091869
301	0.9776389468
302	0.9716453398
303	0.9697266348
304	0.9686386306
305	0.9638546408
306	0.9585502654
307	0.9574371725
308	0.9568984486
309	0.9561633707
310	0.9513441153
311	0.9483194892
312	0.9474532928
313	0.9463697369
314	0.9404101833
315	0.9395796903
316	0.9344516767
317	0.9312091776
318	0.9301561267
319	0.9276134673
320	0.926596751
321	0.9232955398
322	0.9213904424
323	0.9187611736
324	0.9146185173
325	0.9128851215
326	0.9105735505
327	0.9065835745
328	0.9016650275
329	0.8989018332
330	0.8959199029
331	0.8903752281
332	0.8858500877
333	0.8845597224
334	0.8836263908
335	0.8800056791
336	0.879386478
337	0.8783674739
338	0.8759554206
339	0.8731162324
340	0.8677206717
341	0.8665632925
342	0.8655868986
343	0.8644646705
344	0.8635413515
345	0.8600073139
346	0.857206526
347	0.8550690926
348	0.8501754903
349	0.8487497393
350	0.8477047496
351	0.8451243778
352	0.8430872835
353	0.8389531223
354	0.8367694754
355	0.834576123
356	0.8314331217
357	0.826942556
358	0.8254581362
359	0.8205780573
360	0.8172559466
361	0.8145814871
362	0.8122850507
363	0.8100464788
364	0.8090323433
365	0.808107178
366	0.8054483846
367	0.8018558366
368	0.8005500822
369	0.7982661859
370	0.7952623904
371	0.7920975778
372	0.7913091738
373	0.7874256044
374	0.7859143465
375	0.7829887631
376	0.7782453784
377	0.7779579817
378	0.7756935748
379	0.7722406316
380	0.7708734354
381	0.768839706
382	0.7679969037
383	0.7644898696
384	0.762312583
385	0.7596163127
386	0.7588264662
387	0.7553882509
388	0.7546378705
389	0.7509180628
390	0.7494030222
391	0.7468400259
392	0.7456452783
393	0.7442792387
394	0.7421629392
395	0.7388303685
396	0.7370034366
397	0.7361090548
398	0.7335536054
399	0.7322889165
400	0.7296052103
401	0.7272921179
402	0.7249550549
403	0.7221470043
404	0.7210475883
405	0.7185737913
406	0.7170802338
407	0.7150022332
408	0.7128006767
409	0.7113511383
410	0.7085777748
411	0.705386314
412	0.7046254597
413	0.7039250584
414	0.7013935615
415	0.7001391397
416	0.6982371815
417	0.6948749939
418	0.6930641653
419	0.6927283045
420	0.6913200617
421	0.6879899548
422	0.6845128487
423	0.6824836539
424	0.6806841314
425	0.6799349667
426	0.6779427237
427	0.6749934803
428	0.6738434834
429	0.672695113
430	0.6723138583
431	0.671541135
432	0.6685715435
433	0.6651739663
434	0.6641364474
435	0.6605762423
436	0.657507176
437	0.6572965565
438	0.6560563683
439	0.6536737664
440	0.6524793681
441	0.6504013077
442	0.6470047761
443	0.6452399545
444	0.6437113918
445	0.6406041815
446	0.6380183775
447	0.6376506466
448	0.6370498421
449	0.6358000806
450	0.6332725436
451	0.6321525701
452	0.6319456546
453	0.6316909544
454	0.6290059539
455	0.627898653
456	0.6245575471
457	0.6209729074
458	0.619044769
459	0.6170525807
460	0.615445536
461	0.6126125119
462	0.6122575042
463	0.6094176645
464	0.607671059
465	0.6064081492
466	0.6059914509
467	0.6032593222
468	0.5998188681
469	0.5978629739
470	0.5949265351
471	0.5945482837
472	0.5937986283
473	0.592209341
474	0.5919034348
475	0.5905106434
476	0.589534021
477	0.5893561327
478	0.586776468
479	0.5860925677
480	0.5828302234
481	0.5804267747
482	0.5801444259
483	0.5787747565
484	0.576626734
485	0.5749413633
486	0.5746843667
487	0.572367108
488	0.5710963189
489	0.5696628505
490	0.5683007159
491	0.5680903165
492	0.5656712334
493	0.5655023355
494	0.5628200851
495	0.5626439082
496	0.5613564331
497	0.5590537272
498	0.5588801968
499	0.5587398387
500	0.5563493857
501	0.5547442223
502	0.5534876526
503	0.5511018156
504	0.5497919076
505	0.5487787113
506	0.5485944441
507	0.5459962264
508	0.5439533428
509	0.5423756599
510	0.5409656426
511	0.5394109106
512	0.53915945
513	0.5390296896
514	0.538850486
515	0.5373379218
516	0.5359532518
517	0.5349706053
518	0.5324995617
519	0.5323529795
520	0.5313701935
521	0.5302927021
522	0.5297492334
523	0.5282751887
524	0.5259188696
525	0.523722749
526	0.5221061011
527	0.521513888
528	0.5198839305
529	0.5177824144
530	0.5155697516
531	0.515014634
532	0.5140964697
533	0.5139319324
534	0.5138151563
535	0.5127155029
536	0.5125690025
537	0.5124162328
538	0.5111572213
539	0.5091709999
540	0.507787134
541	0.5076502674
542	0.5065587976
543	0.5052915305
544	0.5039036931
545	0.5028293306
546	0.5020020937
547	0.5011969668
